City,State,Latitude,Longitude
New York,NY,40.714,-74.007
Los Angeles,CA,34.052,-118.243
Chicago,IL,41.882,-87.628
Houston,TX,29.76,-95.363
Phoenix,AZ,33.448,-112.074
Philadelphia,PA,39.952,-75.164
San Antonio,TX,29.423,-98.49
San Diego,CA,32.716,-117.165
Dallas,TX,32.781,-96.797
San Jose,CA,37.336,-121.891
Austin,TX,30.268,-97.743
Jacksonville,FL,30.328,-81.657
Fort Worth,TX,32.754,-97.331
Columbus,OH,39.962,-83.001
Indianapolis,IN,39.769,-86.158
Charlotte,NC,35.227,-80.843
San Francisco,CA,37.78,-122.414
Seattle,WA,47.607,-122.338
Denver,CO,39.739,-104.987
Washington,DC,38.895,-77.036
Nashville,TN,36.164,-86.783
Oklahoma City,OK,35.468,-97.516
El Paso,TX,31.76,-106.488
Boston,MA,42.359,-71.057
Portland,OR,45.519,-122.679
Las Vegas,NV,36.171,-115.144
Detroit,MI,42.332,-83.047
Memphis,TN,35.146,-90.052
Louisville,KY,38.257,-85.757
Baltimore,MD,39.289,-76.615
Milwaukee,WI,43.042,-87.905
Albuquerque,NM,35.084,-106.652
Tucson,AZ,32.222,-110.973
Fresno,CA,36.737,-119.789
Sacramento,CA,38.577,-121.496
Kansas City,MO,39.104,-94.583
Mesa,AZ,33.415,-111.831
Atlanta,GA,33.749,-84.39
Omaha,NE,41.26,-95.94
Colorado Springs,CO,38.832,-104.822
Raleigh,NC,35.78,-78.639
Long Beach,CA,33.768,-118.192
Virginia Beach,VA,36.845,-75.974
Miami,FL,25.774,-80.192
Oakland,CA,37.804,-122.271
Minneapolis,MN,44.977,-93.272
Tulsa,OK,36.153,-95.991
Bakersfield,CA,35.373,-119.019
Wichita,KS,37.686,-97.338
Arlington,TX,32.737,-97.107
Aurora,CO,39.726,-104.847
Tampa,FL,27.949,-82.458
New Orleans,LA,29.957,-90.063
Cleveland,OH,41.5,-81.694
Honolulu,HI,21.306,-157.86
Anaheim,CA,33.833,-117.913
Lexington,KY,38.047,-84.498
Stockton,CA,37.955,-121.293
Corpus Christi,TX,27.797,-97.395
Henderson,NV,36.03,-114.983
Riverside,CA,33.983,-117.374
Newark,NJ,40.736,-74.172
St Paul,MN,44.946,-93.094
Santa Ana,CA,33.745,-117.868
Cincinnati,OH,39.105,-84.514
Irvine,CA,33.684,-117.796
Orlando,FL,28.543,-81.378
Pittsburgh,PA,40.441,-80.003
St Louis,MO,38.626,-90.191
Greensboro,NC,36.073,-79.792
Jersey City,NJ,40.732,-74.063
Anchorage,AK,61.218,-149.885
Lincoln,NE,40.809,-96.7
Plano,TX,33.02,-96.698
Durham,NC,35.995,-78.901
Buffalo,NY,42.886,-78.878
Chandler,AZ,33.306,-111.841
Chula Vista,CA,32.64,-117.082
Toledo,OH,41.651,-83.542
Madison,WI,43.074,-89.383
Gilbert,AZ,33.354,-111.79
Reno,NV,39.529,-119.814
Fort Wayne,IN,41.08,-85.14
North Las Vegas,NV,36.202,-115.12
